"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 3.0, 'Lrxawe62L5', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 4.0, 'io4pg02o4z', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 5.0, '91ey4ukvdm', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 6.0, '51449sx3ae', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 13.0, 'r3vydtrboz', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 14.0, 'Li26dLhuki', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 17.0, 'mep2zc3wg3', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 19.0, '5bktoenwb3', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 20.0, 'tebg5hg2nu', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 21.0, 'iua5hcq36t', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 22.0, 'p2b46dp66b', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 23.0, 'tnruehkgvg', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 25.0, 'tn7gwwzrcv', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 26.0, '1y930prmxp', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 A-2 - Surface Mount & Universal Top', 27.0, 'b7g4ovy9o0', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 15.0, '', 39.0, 'PC: Black', 150203.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[198191.0, 43739.0, 43747.0, 'Cable - Alum - 39 C Right - Surface Mount & Universal Top', 9.0, '2mudh4h0hq', 'Cable', 'C Right', 'Surface Mount', 'Universal Top', '', 1.0, '', 39.0, 'PC: Black', 132067.0]"

